file_no,relative_path,top_folder,sub_folder,country,state,district,year,quarter,row_count_extracted,status,error
1,aggregated\insurance\country\india\2020\2.json,aggregated,insurance,India,,,2020,2,1,success,
2,aggregated\insurance\country\india\2020\3.json,aggregated,insurance,India,,,2020,3,1,success,
3,aggregated\insurance\country\india\2020\4.json,aggregated,insurance,India,,,2020,4,1,success,
4,aggregated\insurance\country\india\2021\1.json,aggregated,insurance,India,,,2021,1,1,success,
5,aggregated\insurance\country\india\2021\2.json,aggregated,insurance,India,,,2021,2,1,success,
6,aggregated\insurance\country\india\2021\3.json,aggregated,insurance,India,,,2021,3,1,success,
7,aggregated\insurance\country\india\2021\4.json,aggregated,insurance,India,,,2021,4,1,success,
8,aggregated\insurance\country\india\2022\1.json,aggregated,insurance,India,,,2022,1,1,success,
9,aggregated\insurance\country\india\2022\2.json,aggregated,insurance,India,,,2022,2,1,success,
10,aggregated\insurance\country\india\2022\3.json,aggregated,insurance,India,,,2022,3,1,success,
11,aggregated\insurance\country\india\2022\4.json,aggregated,insurance,India,,,2022,4,1,success,
12,aggregated\insurance\country\india\2023\1.json,aggregated,insurance,India,,,2023,1,1,success,
13,aggregated\insurance\country\india\2023\2.json,aggregated,insurance,India,,,2023,2,1,success,
14,aggregated\insurance\country\india\2023\3.json,aggregated,insurance,India,,,2023,3,1,success,
15,aggregated\insurance\country\india\2023\4.json,aggregated,insurance,India,,,2023,4,1,success,
16,aggregated\insurance\country\india\2024\1.json,aggregated,insurance,India,,,2024,1,1,success,
17,aggregated\insurance\country\india\2024\2.json,aggregated,insurance,India,,,2024,2,1,success,
18,aggregated\insurance\country\india\2024\3.json,aggregated,insurance,India,,,2024,3,1,success,
19,aggregated\insurance\country\india\2024\4.json,aggregated,insurance,India,,,2024,4,1,success,
20,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2020\2.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2020,2,1,success,
21,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2020\3.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2020,3,1,success,
22,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2020\4.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2020,4,1,success,
23,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2021\1.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2021,1,1,success,
24,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2021\2.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2021,2,1,success,
25,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2021\3.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2021,3,1,success,
26,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2021\4.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2021,4,1,success,
27,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2022\1.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2022,1,1,success,
28,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2022\2.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2022,2,1,success,
29,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2022\3.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2022,3,1,success,
30,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2022\4.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2022,4,1,success,
31,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2023\1.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2023,1,1,success,
32,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2023\2.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2023,2,1,success,
33,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2023\3.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2023,3,1,success,
34,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2023\4.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2023,4,1,success,
35,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2024\1.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2024,1,1,success,
36,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2024\2.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2024,2,1,success,
37,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2024\3.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2024,3,1,success,
38,aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2024\4.json,aggregated,insurance,India,Andaman & Nicobar Islands,,2024,4,1,success,
39,aggregated\insurance\country\india\state\andhra-pradesh\2020\2.json,aggregated,insurance,India,Andhra Pradesh,,2020,2,1,success,
40,aggregated\insurance\country\india\state\andhra-pradesh\2020\3.json,aggregated,insurance,India,Andhra Pradesh,,2020,3,1,success,
41,aggregated\insurance\country\india\state\andhra-pradesh\2020\4.json,aggregated,insurance,India,Andhra Pradesh,,2020,4,1,success,
42,aggregated\insurance\country\india\state\andhra-pradesh\2021\1.json,aggregated,insurance,India,Andhra Pradesh,,2021,1,1,success,
43,aggregated\insurance\country\india\state\andhra-pradesh\2021\2.json,aggregated,insurance,India,Andhra Pradesh,,2021,2,1,success,
44,aggregated\insurance\country\india\state\andhra-pradesh\2021\3.json,aggregated,insurance,India,Andhra Pradesh,,2021,3,1,success,
45,aggregated\insurance\country\india\state\andhra-pradesh\2021\4.json,aggregated,insurance,India,Andhra Pradesh,,2021,4,1,success,
46,aggregated\insurance\country\india\state\andhra-pradesh\2022\1.json,aggregated,insurance,India,Andhra Pradesh,,2022,1,1,success,
47,aggregated\insurance\country\india\state\andhra-pradesh\2022\2.json,aggregated,insurance,India,Andhra Pradesh,,2022,2,1,success,
48,aggregated\insurance\country\india\state\andhra-pradesh\2022\3.json,aggregated,insurance,India,Andhra Pradesh,,2022,3,1,success,
49,aggregated\insurance\country\india\state\andhra-pradesh\2022\4.json,aggregated,insurance,India,Andhra Pradesh,,2022,4,1,success,
50,aggregated\insurance\country\india\state\andhra-pradesh\2023\1.json,aggregated,insurance,India,Andhra Pradesh,,2023,1,1,success,
51,aggregated\insurance\country\india\state\andhra-pradesh\2023\2.json,aggregated,insurance,India,Andhra Pradesh,,2023,2,1,success,
52,aggregated\insurance\country\india\state\andhra-pradesh\2023\3.json,aggregated,insurance,India,Andhra Pradesh,,2023,3,1,success,
53,aggregated\insurance\country\india\state\andhra-pradesh\2023\4.json,aggregated,insurance,India,Andhra Pradesh,,2023,4,1,success,
54,aggregated\insurance\country\india\state\andhra-pradesh\2024\1.json,aggregated,insurance,India,Andhra Pradesh,,2024,1,1,success,
55,aggregated\insurance\country\india\state\andhra-pradesh\2024\2.json,aggregated,insurance,India,Andhra Pradesh,,2024,2,1,success,
56,aggregated\insurance\country\india\state\andhra-pradesh\2024\3.json,aggregated,insurance,India,Andhra Pradesh,,2024,3,1,success,
